kat,tohum,dis_test_merkez,yontem,n,dogruluk,brier,duyarlilik
4,42,4,platt,20,0.8922222222222222,0.1287606805562973,0.8822222222222222
4,42,4,esik_dis,50,0.89,0.08619476109743118,0.8822222222222222
4,42,4,platt,50,0.89,0.098392553627491,0.8822222222222222
4,42,4,esik_dis,100,0.89,0.08619476109743118,0.8822222222222222
4,42,4,platt,100,0.89,0.0882914587855339,0.8822222222222222
4,42,4,esik_dis,200,0.8922222222222222,0.08619476109743118,0.8822222222222222
4,42,4,platt,200,0.8922222222222222,0.0878666341304779,0.8822222222222222
4,42,4,esik_dis,286,0.8877777777777778,0.08619476109743118,0.8822222222222222
4,42,4,platt,286,0.8877777777777778,0.08634515851736069,0.8822222222222222
4,43,4,ic_tavan,0,0.9177777777777778,0.06145944446325302,0.9355555555555556
4,43,4,esik_ic,0,0.86,0.08354771882295609,0.8733333333333333
4,43,4,esik_dis,20,0.8577777777777778,0.08354771882295609,0.8733333333333333
4,43,4,platt,20,0.8577777777777778,0.11616512387990952,0.8733333333333333
4,43,4,esik_dis,50,0.8966666666666666,0.08354771882295609,0.8733333333333333
4,43,4,platt,50,0.8966666666666666,0.09812065213918686,0.8733333333333333
4,43,4,esik_dis,100,0.8966666666666666,0.08354771882295609,0.8733333333333333
4,43,4,platt,100,0.8966666666666666,0.0907442644238472,0.8733333333333333
4,43,4,esik_dis,200,0.8944444444444445,0.08354771882295609,0.8733333333333333
4,43,4,platt,200,0.8944444444444445,0.08729423582553864,0.8733333333333333
4,43,4,esik_dis,286,0.8944444444444445,0.08354771882295609,0.8733333333333333
4,43,4,platt,286,0.8944444444444445,0.08634291589260101,0.8733333333333333
4,44,4,ic_tavan,0,0.8544444444444445,0.12992478907108307,0.8088888888888889
4,44,4,esik_ic,0,0.8811111111111111,0.08787886053323746,0.88
4,44,4,esik_dis,20,0.8944444444444445,0.08787886053323746,0.88
4,44,4,platt,20,0.8944444444444445,0.14043021202087402,0.88
4,44,4,esik_dis,50,0.89,0.08787886053323746,0.88
4,44,4,platt,50,0.89,0.11288201063871384,0.88
4,44,4,esik_dis,100,0.89,0.08787886053323746,0.88
4,44,4,platt,100,0.89,0.09937884658575058,0.88
4,44,4,esik_dis,200,0.8877777777777778,0.08787886053323746,0.88
4,44,4,platt,200,0.8877777777777778,0.0908687561750412,0.88
4,44,4,esik_dis,286,0.8877777777777778,0.08787886053323746,0.88
4,44,4,platt,286,0.8877777777777778,0.08925659954547882,0.88
